credit card nite chaile koto income kora lagbe shei shomporke jante chacchi,2.0
what are the ways of rechaging my phone from  bank account,5.0
ami 35 hajar taka proti mashe income korle ki amake credit card dibe?,2.0
how do I top up,5.0
amar credit card er pichone kto khoroch hobe bochore?,1.0
dear sir what is the credit card interest charge,4.0
How much is the yearly bill for credit card?,1.0
credit card nite monthly income koto lage ei info lagbe,2.0
proti mashe koto taka pele credit card nite parbo shei info lagbe,2.0
"amar credit card ase ekta, kto katbe year e?",1.0
Can I get the facility of BRAC Bank's credit card?,3.0
fee koto lagbe deya credit card er jonno?,1.0
sir please tell me how much do u charge for monthly Credit Card interest,4.0
Do you need any useful documents to take a credit card?,6.0
how much interest rate do u chrg on Credit Card,4.0
subidha ki pabo apnader credit card nile,3.0
"Want to take cards, what are the facilities?",3.0
What to do if I take the credit card of BRAC?,6.0
"Take a credit card, take any thing?",6.0
Ami ki ki facilities pabo from credit card?,3.0
int rate koto for Credit Card,4.0
please tell me what is th intrest chrg of Credit Card,4.0
monthly koto income hole credit card nite parbo?,2.0
proti bochor koto khorch hoy credt card e?,1.0
Do you need to have the necessary documents to get a credit card?,6.0
"credit card lagbe, beton koto howa lagbe?",2.0
ur credit card what is d monthly interest charge,4.0
"Take the classic card, what is the benefit?",3.0
"I have a credit card, what amount do I have to pay per yaer?",1.0
plz inform what is your credit card monthly interest rate,4.0
What documents will be needed for credit card?,6.0
What kind of stuff should I take to get the credit card of BRAC?,6.0
what is the minimum salary for getting a credit card?,2.0
credit card er yearly fee kemon pore?,1.0
"Want to take cards, what is the facility?",3.0
credit card monthly intrest charg,4.0
khoroch koto credit card e?,1.0
please help me to recharge my phone from my bank balance,5.0
What paper for the credit card?,6.0
Do you have any necessary paper to get credit card?,6.0
Do you have any necessary paperwork to get a credit card?,6.0
What advantages do I get from BRAC Bank's credit card?,3.0
mashe koto pele credit card tulte parbo?,2.0
credit card er charge koto kemne janbo?,1.0
What is the credit card offer?,3.0
Tell me about the income needed per month for credit card,2.0
kindly tell me how much do u charge monthly of Credit Card,4.0
credit card cost per year?,1.0
how mcuh do u charge monthly for credit card,4.0
"If I want a credit card, how much monthly income do I need to show?",2.0
may i know hw much interest rate do u charge Credit Card,4.0
credit card er jonno income koto lage bolte parben ki?,2.0
What is the offer available on your signature credit card now?,3.0
Tell me about the income required for credit card,2.0
mashik ay koto lage credit card er jonno ei tottho koi pabo?,2.0
apnara card a ki shubidha den,3.0
Is there any annual fee for credit card?,1.0
Help me to flexiload my fon with my bank balance,5.0
Brac bank credit card interest rate koto,4.0
apnader credit card nile what type facility pabo,3.0
Which items should be credited for a credit card?,6.0
"hi, if i take credit card what is monthly interest bill",4.0
ki kagos potro dekhate hobe credit card near jonno?,6.0
"Take credit card, what is the offer?",3.0
Credit Card interest charge kto mnthly,4.0
Credit Card er interest rate kato,4.0
What do you have to bring a credit card?,6.0
interest koto charge koren Credit Carde,4.0
Apnader credit er jonno amake ki document joma dite hobe?,6.0
credit card nile koto tk dite hoy bosor e?,1.0
How much do you charge for credit card?,1.0
"Platinum cards, what are the benefits?",3.0
What kind of facility do you credit card?,3.0
Credit Card interest percenteg koto,4.0
tumi amake amar bank balance  theke recharge kore dao,5.0
camon subidha paba apnader credit card nile,3.0
What things will you do to open credit cards?,6.0
amr income 40000 hole ki credit card pabo?,2.0
plz tell me how hw much interest rate Credit Card do u charge,4.0
credit card yearly costing,1.0
tumi amar bank account theke phone e taka bhore dao,5.0
ami amar phon e taka recharge korte chai,5.0
"Want to take credit card, what are the benefits?",3.0
amar beton koto hole credit card nite parbo?,2.0
rate koto Credit Card ar,4.0
credit card er interest rate ta ki jante pari,4.0
wht is th interest charge Cradit Card,4.0
I got to flexi my phone now,5.0
"If you have to take credit card from you, which paper will come?",6.0
amar phone e taka bhore dao bank balan theke,5.0
What are the benefits of your credit card?,3.0
ami cai tumi amar phone e taka fleksi kore dai,5.0
What documents will you take for taking credit card?,6.0
aponader carder rate koto,4.0
plzz tell me interest rate of ur credit card,4.0
Credit Card monthly interst koto katven,4.0
koto deya lagbe credit card er jonne ei i nfo din plz,1.0
"Get the classic card, what is the facility?",3.0
carder monthly interest kata ashe,4.0
annual charging for credit card?,1.0
ki ki shubida ase apnader card nile,3.0
help me doing top up my phone,5.0
Credit Card mashik sud koto bolun,4.0
ektu recharge kore den amar phone e,5.0
"credit card nitam, monthly interst koto",4.0
how can i chk interest charges for Credit Card,4.0
Where can I find the info regarding the charge for credit card?,1.0
Kono documents lagbe ki credit card nite?,6.0
bill per yaer for credit card?,1.0
ki ki benfit pabo apnader credit card a,3.0
"ami credit card nile, bochore kto dibo?",1.0
ami amar mobile ta recharge korte chaitesi,5.0
Is thr any need of papers for crdt card?,6.0
tell how do i know monthly credit card interest charge,4.0
want to know Credit Card monthly interest charge,4.0
how do I flexi to my phone from Islami bank account,5.0
what is your monthly interest charges for credit card,4.0
i have to know the Credit Card monthly interest charge,4.0
"amar credit card lagbe, boshore cost kemon?",1.0
wanna know interest rate of Credit Card,4.0
"need credit card, how much i hv to pay for interest",4.0
koto katbe bosore credit card er jonno?,1.0
subidha ki ki pawa jay aponader card nile,3.0
card nile what type subidha pabo,3.0
Credit Card shud koto,4.0
I want to flexiload my mobile from bank balanc,5.0
how much should someone earn to get a credit card?,2.0
amar beton thik ache kina kemne bujbo?,2.0
Income needed for credit card,2.0
what is the cost for credit card per year?,1.0
Will you have any necessary documents to take credit card?,6.0
What to do when you open a credit card?,6.0
What is the benefit of card?,3.0
"When you have to take a credit card from you, what will come to the noticeer?",6.0
I want info regarding credit card fee,1.0
apnader credit card a ki ki shubidha dan,3.0
Can you let me know what documents I need for a credit card?,6.0
year fee koto credit card er jonno?,1.0
Do you have any documents to open credit cards?,6.0
do you know monthly credit card interest charges,4.0
subida ki ki pete pari apnader card nile,3.0
annual fee information regarding credit card,1.0
apnader card er interest koto jante pari,4.0
"Cards, what are the benefits available?",3.0
please inform how much monthly credit card interest charge,4.0
what is the monthy amount needed for having a credit card?,2.0
boss card er monthly interesst charge koto,4.0
do you know monthly  Credit Card interest bill,4.0
What benefits do I get to the credit card of BRAC Bank?,3.0
plz let know what is your mnthly interest rate charge of Credit Card,4.0
"credit card nite cai, koto taka beton hote hobe?",2.0
"I want a credit card, what should be my income?",2.0
khoroch kemn ashbe crdit card er jonno bochore?,1.0
credit card nimu interest charge bol,4.0
Which paper do you take for the credit card of BRAC Bank?,6.0
benifir ki ki ase apnader credit car a,3.0
how much is the credit card bill annually ?,1.0
"Take a classic card, what is the facility?",3.0
Are there any papers to submit for a credit card?,6.0
credit card nile koto fee dite hobe year e,1.0
wht is d mnthly interest chrgge of ur Credit Card,4.0
suder har kata Credit Card e,4.0
amar beton credit card er jonno thik ase kina kibhabe janbo?,2.0
"If you want to receive your credit card, any documents will be submitted?",6.0
credit card e bochore cost koto deya lage?,1.0
"Take credit card, what is the facility?",3.0
Give me info about credit card annual cost,1.0
amar phone e top up kore den,5.0
I need help about the information about how much income is necessary for a credit card.,2.0
Am I need to submt any papers for crdt card?,6.0
amar monthly income koto dekhaite parle credit card dibe?,2.0
i want to know the monthly interest charge of Credit Card,4.0
tell me about interest rate of brac bank credit card,4.0
apnader Credit Cardinterest rate koto,4.0
"i need a credit card, how much income must I must show?",2.0
please tell me how much Credit Card interest rate do you charge,4.0
Credit Card mashik interest koto bolun,4.0
baya interest koto credit card er,4.0
bochore koto taka dile crdit card nite parbo?,1.0
"I get low wage per month, is it possible to have a credit card?",2.0
What benefits do I get from the credit card of BRAC Bank?,3.0
amar credit card er jonno ay koto hoite hoy ei info koi pabo?,2.0
what is ur interest charges on Credit Card,4.0
what is d monthly interest of your Credit Card,4.0
"Take a credit card, no paperwork?",6.0
"ami jodi credit card nite chai, tahole mash e koto kamate hobe?",2.0
Credit card nile ki kono papers lagbe?,6.0
Do you have any useful stuff to take a credit card?,6.0
Credit Card interest rate ko,4.0
