স্যার ক্রডিট কার্ডে সুদ হার কত আপনাদের জানান প্লিজ,4.0
ব্র্যাকের ক্রেদিত কার্ড নিতে চাইলে কোন কাগজপত্র জমা দিব?,6.0
ব্র্যাকের ক্রেডিট  কার্ডে বিলের ব্যাপারটা বলেন।,1.0
"ক্রেডিট কার্ড নিতে চাই, মাসিক সুদের হার কত",4.0
"হাই, মাসিক সুদ কত ক্রেডিট কার্ডের",4.0
যদি আপনাদের ক্রেডিট কার্ড নেই কোন কাগজপত্র জমা নেন?,6.0
credit card এর  charge এর info  দিন প্লিজ,1.0
আমার ইনকাম যদি এর চেয়ে কম হয় তাহলে কি ক্রেডিট কার্ড দিবে?,2.0
আমি কি কি ফ্যাসিলিটি পাবো ব্র্যাক ব্যাংকের ক্রেডিট কার্ড নিলে?,3.0
দাদা মাসিক ইন্টারেস্ট রেট কতো আপনাদের জানান ক্রেডিট কার্ডের,4.0
ক্রেডিট কার্ডের জন্য কি কাগজপত্র নিয়ে যাব ব্রাঞ্চে?,6.0
সিগনেচার  কার্ডে বাৎসরিক বিল কত হবে?,1.0
মোবাইলে টাকা উঠিয়ে দেন,5.0
ওস্তাদ ইন্তেরাস্ত রেট কত ক্রেডিট কার্ডে,4.0
আমি কি ফেসিলিটিস পাবো ব্রাক ব্যাংক এর ক্রেডিট কার্ড নিলে?,3.0
ইন্টারেস্ট রেট জানতে চাই ক্রেডিট কার্ডের,4.0
এইযে ভাই আমার ফ্লেক্সিলোড প্রয়োজন,5.0
সর্বনিম্ন মাসিক কত টাকা বেতন পাইলে ক্রেডিট কার্ড নেওয়া যাবে?,2.0
ক্রেডিট  কার্ডে বিলের ব্যাপারটা একটু বুঝান।,1.0
ক্রেডিত কার্ড নিতে হলে কোন জিনিস জমা দিতে হবে?,6.0
ব্র্যাকের ক্রেডিট কার্ড নিতে চাইলে কি কি জিনিস জমা দিব?,6.0
আমি কি ফ্যাসিলিটি পাবো আপনাদের ক্রেডিট কার্ড নিলে?,3.0
"বলেন ত , মাসে ইন্টারেস্ট চার্জ করেন কত ক্রেডিট কার্ড এ",4.0
প্লাটিনাম কার্ড নিব সুযোগ সুবিধা কি আছে?,3.0
যদি আপনাদের ক্রেডিট কার্ড নিতে চাই কি কাগজপত্র জমা নেয়া হবে?,6.0
ক্রেডিট কার্ড দিবেন মাসিক কত বেতনে?,2.0
আপনাদের ক্রেডিট কার্ড নিতে কি জিনিস লাগবে?,6.0
ক্রেডিট কার্ডে মান্থলি সুদ কতো,4.0
provide info about credit card annual payment cost,1.0
স্যার ক্রেডিট কার্দ সুদ হার কতো আপনাদের জানান প্লিজ,4.0
ক্রেডিট কার্ড নিতে হইলে কত স্যালারি দেখাইতে হইব?,2.0
আপনারা কার্ডের জন্য কোন জিনিস চান?,6.0
আপনাদের ক্রেডিট কার্ড নিতে কি কি ডকুমেন্টস লাগবে?,6.0
মাসিক উপার্জন কত হয়লে ক্রেডিট কার্ড পাবো?,2.0
ক্রেদিত কার্ডের জন্য কোন জিনিস জমা দিতে হবে?,6.0
মাসসিক ইন্টারেস্ট রেট কত ক্রেডিট কার্ডে,4.0
যদি আপনাদের ক্রেডিট কারড নেই কোন জিনিস জমা নেন?,6.0
ভাই ক্রেডিট কার্ডে সুদের হার কত আপনাদের বলুন প্লিজ,4.0
ব্র্যাকের ক্রেডিট  কার্ডে বছরে কি কি খরচ  কাটবেন?,1.0
আপনারা কার্ডের জন্য কোন জিনিসচান?,6.0
মাসিক কেমন আয় করলে ক্রেডিট কার্ড লইতে পারবো?,2.0
আপনাদের কাছ থেকে ক্রেডিট কার্ড নিতে গেলে কোন জিনিসপাতি নিয়ে আসতে হবে?,6.0
"কার্ড নিতে চাই, সুবিধা কি?",3.0
এত বিল  কেন আসে?,1.0
"ক্রেডিট কার্ড নিব, ফ্যাসিলিটি কেমন?",3.0
আপনারা ক্রেডিট কার্ডের জন্য কি কি কাগজপত্র নেন?,6.0
"কার্ড নিতে চাই, সুযোগ সুবিধা কি?",3.0
